Rank,Account,本家(我方),小軸(我方),勝負,先後攻,本家(敵方),小軸(敵方),備註,Date,Season
鑽3,烙印,星辰,烙印,O,先攻,尤貝爾,破械,先攻卡手,2025/12/31,S48
鑽3,烙印,星辰,烙印,X,後攻,星辰,烙印,,2025/12/31,S48
鑽3,烙印,星辰,烙印,X,後攻,百夫,勇者,,2025/12/31,S48
鑽3,烙印,星辰,烙印,X,先攻,閃刀姬,天琴,先攻卡手,2025/12/31,S48
鑽3,烙印,星辰,烙印,X,後攻,雷熱,巳劍,,2025/12/31,S48
鑽3,烙印,星辰,烙印,O,先攻,龐克,無,,2025/12/31,S48
鑽3,烙印,星辰,烙印,O,後攻,雷熱,巳劍,,2025/12/31,S48
鑽3,烙印,星辰,烙印,O,先攻,白之森,無,,2025/12/31,S48
鑽3,烙印,星辰,烙印,O,先攻,巳劍,刻魔,升鑽2,2025/12/31,S48
鑽2,烙印,星辰,烙印,O,先攻,天琴,刻魔,,2025/12/31,S48
鑽2,烙印,星辰,烙印,X,後攻,星辰,烙印,,2025/12/31,S48
鑽2,烙印,星辰,烙印,O,先攻,利希德,無,,2025/12/31,S48
鑽2,烙印,星辰,烙印,X,先攻,瑪麗絲,無,,2025/12/31,S48
鑽2,烙印,星辰,烙印,O,後攻,白銀城,無,,2025/12/31,S48
鑽2,烙印,星辰,烙印,X,後攻,寶石,珠淚,,2025/12/31,S48
鑽2,烙印,星辰,烙印,O,先攻,白龍,原石,,2025/12/31,S48
鑽2,烙印,星辰,烙印,X,先攻,利希德,無,,2025/12/31,S48
鑽2,烙印,星辰,烙印,X,先攻,天琴,刻魔,,2025/12/31,S48
鑽2,烙印,神藝,烙印,O,後攻,尤貝爾,破械,,2025/12/31,S48
鑽2,烙印,神藝,烙印,O,先攻,閃刀姬,無,,2025/12/31,S48
鑽2,烙印,神藝,烙印,X,後攻,利希德,原石,,2025/12/31,S48
鑽2,烙印,神藝,烙印,X,後攻,星辰,烙印,,2025/12/31,S48
鑽2,烙印,神藝,烙印,O,後攻,烙印,無,,2025/12/31,S48
鑽2,烙印,神藝,烙印,O,先攻,星辰,偉魔,,2025/12/31,S48
鑽2,烙印,神藝,烙印,X,後攻,瑪麗絲,無,,2025/12/31,S48
鑽2,烙印,閃刀姬,無,O,後攻,Unknown,無,,2025/12/31,S48
鑽2,烙印,閃刀姬,無,X,先攻,聖徒,無,,2025/12/31,S48
鑽2,烙印,閃刀姬,無,O,後攻,星辰,原石,,2025/12/31,S48
鑽2,烙印,閃刀姬,無,O,先攻,百夫,白之森,,2025/12/31,S48
鑽2,烙印,閃刀姬,無,O,先攻,寶石,無,對手讓先 升鑽一,2025/12/31,S48
鑽1,烙印,雷熱,巳劍,X,先攻,荷魯斯,刻魔,先攻 卡手,2025/12/31,S48
鑽1,烙印,雷熱,巳劍,O,先攻,百夫,無,,2025/12/31,S48
白金5,烙印,神藝,烙印,O,先攻,霸王,幻奏,打錯,2026/1/4,S49
白金5,烙印,神藝,烙印,X,後攻,雷熱,擬聲,,2026/1/6,S49
白金5,烙印,神藝,烙印,O,後攻,星辰,龍女僕,,2026/1/6,S49
白金5,烙印,神藝,烙印,O,先攻,白銀城,無,,2026/1/6,S49
白金5,烙印,神藝,烙印,O,先攻,Meta Beat,無,,2026/1/7,S49
白金5,烙印,神藝,烙印,O,先攻,DDD,無,升白金4,2026/1/8,S49
白金4,烙印,神藝,烙印,O,後攻,紅惡魔龍,無,,2026/1/9,S49
白金4,烙印,神藝,烙印,X,後攻,美味,巳劍,,2026/1/9,S49
白金4,烙印,神藝,烙印,X,後攻,Unknown,無,巨石,2026/1/9,S49
白金4,烙印,神藝,烙印,X,先攻,龐克,無,垃圾手牌,2026/1/9,S49
白金4,烙印,神藝,烙印,X,先攻,DDD,無,吃了兩張G,2026/1/9,S49
白金4,烙印,神藝,烙印,X,後攻,Meta Beat,無,降白金五 這一連串運氣超差 差點氣死,2026/1/9,S49
白金5,烙印,神藝,烙印,O,先攻,天盃,無,,2026/1/9,S49
白金5,烙印,神藝,烙印,X,後攻,DDD,無,,2026/1/9,S49
白金5,烙印,神藝,烙印,O,先攻,記憶物,無,,2026/1/9,S49
白金5,烙印,閃刀姬,無,O,先攻,龍女僕,64壞,,2026/1/9,S49
白金5,烙印,閃刀姬,無,O,先攻,荷魯斯,無,,2026/1/10,S49
白金5,烙印,閃刀姬,無,O,後攻,瑪麗絲,珠淚,升回白金4,2026/1/11,S49
白金4,烙印,閃刀姬,無,X,先攻,天盃,無,對手讓先,2026/1/12,S49
白金4,烙印,閃刀姬,無,O,先攻,閃刀姬,無,,2026/1/12,S49
